127.0.0.1 - - [15/Dec/2017:22:51:44 -0500] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:44 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:44 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9711
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:46 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:46 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9711
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:46 -0500] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:53 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:53 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:53 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:55 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:55 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:51:55 -0500] "GET /newBank/getTableInfo HTTP/1.1" 500 3209
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:55:45 -0500] "GET /newBank/getUserInfo HTTP/1.1" 418 -
0:0:0:0:0:0:0:1 - - [15/Dec/2017:22:55:46 -0500] "GET /newBank/getTableInfo HTTP/1.1" 500 3209
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:01:11 -0500] "GET /newBank/getUserInfo HTTP/1.1" 418 -
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:01:12 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:21 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:21 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 8307
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:27 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:27 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:27 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:29 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:05:29 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
